code,name,type
chk000001,华夏成长混合,混合型
chk000002,华夏成长混合(后端),混合型
chk000003,中海可转债债券A,债券型
chk000004,中海可转债债券C,债券型
chk000005,嘉实增强信用定期债券,定开债券
chk000006,西部利得量化成长混合,混合型
chk000008,嘉实中证500ETF联接A,联接基金
chk000009,易方达天天理财货币A,货币型
chk000010,易方达天天理财货币B,货币型
chk000011,华夏大盘精选混合,混合型
chk000012,华夏大盘精选混合(后端),混合型
chk000013,易方达天天理财货币R,货币型
chk000014,华夏聚利债券,债券型
chk000015,华夏纯债债券A,债券型
chk000016,华夏纯债债券C,债券型
chk000017,财通可持续混合,混合型
chk000020,景顺长城品质投资混合,混合型
chk000021,华夏优势增长混合,混合型
chk000024,大摩双利增强债券A,债券型
chk000025,大摩双利增强债券C,债券型
chk000028,华富安鑫债券,债券型
chk000029,富国宏观策略灵活配置混合,混合型
chk000030,长城核心优选混合,混合型
chk000031,华夏复兴混合,混合型
chk000032,易方达信用债债券A,债券型
chk000033,易方达信用债债券C,债券型
chk000037,广发景宁债券,债券型
chk000039,农银高增长混合,混合型
chk000041,华夏全球股票(QDII),QDII
chk000042,中证财通可持续发展100指数A,股票指数
chk000043,嘉实美国成长股票人民币,QDII
chk000044,嘉实美国成长股票美元现汇,QDII
chk000045,工银产业债债券A,债券型
chk000046,工银产业债债券B,债券型
chk000047,华夏双债债券A,债券型
chk000048,华夏双债债券C,债券型
chk000049,中银标普全球资源等权重指数,QDII-指数
chk000051,华夏沪深300ETF联接A,联接基金
chk000053,鹏华永诚一年定开债券,定开债券
chk000054,鹏华双债增利债券,债券型
chk000055,广发纳斯达克100美元现汇A,QDII-指数
chk000056,建信消费升级混合,混合型
chk000057,中银消费主题混合,混合型
chk000058,国联安安泰灵活配置混合,混合型
chk000059,国联安中证医药100A,股票指数
chk000061,华夏盛世混合,混合型
chk000063,长盛电子信息主题灵活配置混合,混合型
chk000064,大摩18个月定开债,定开债券
chk000065,国富焦点驱动混合,混合型
chk000066,诺安鸿鑫混合,混合型
chk000067,民生加银转债优选A,债券型
chk000068,民生加银转债优选C,债券型
chk000069,国投瑞银中高等级债券A,债券型
chk000070,国投瑞银中高等级债券C,债券型
chk000071,华夏恒生ETF联接A,QDII-指数
chk000072,华安稳健回报混合,混合型
chk000073,上投摩根成长动力混合,混合型
chk000074,工银信用纯债一年定开债A,定开债券
chk000075,华夏恒生ETF联接现汇,QDII-指数
chk000076,华夏恒生ETF联接现钞,QDII-指数
chk000077,工银信用纯债一年定开债C,定开债券
chk000078,工银信用纯债两年定开债A,定开债券
chk000079,工银信用纯债两年定开债C,定开债券
chk000080,天治可转债增强债券A,债券型
chk000081,天治可转债增强债券C,债券型
chk000082,嘉实研究阿尔法股票,股票型
chk000083,汇添富消费行业混合,混合型
chk000084,博时安盈债券A,债券型
chk000085,博时安盈债券C,债券型
chk000086,南方稳利1年定开债A,定开债券
chk000087,嘉实中证金边国债ETF联接A,联接基金
chk000088,嘉实中证金边国债ETF联接C,联接基金
chk000089,民生加银高等级信用债C,债券型
chk000090,民生加银高等级信用债A,债券型
chk000103,国泰中国企业境外高收益债,QDII
chk000104,华宸未来稳健添利债券A,债券型
chk000105,建信安心回报债券A,定开债券
chk000106,建信安心回报债券C,定开债券
chk000107,富国稳健增强债券A/B,债券型
chk000108,富国稳健增强债券A/B(后端),债券型
chk000109,富国稳健增强债券C,债券型
chk000110,金鹰元安混合A,混合型
chk000111,易方达纯债1年定开债A,定开债券
chk000112,易方达纯债1年定开债C,定开债券
chk000113,嘉实如意宝定期债券A/B,定开债券
chk000114,嘉实如意宝定期债券A/B(后端),定开债券
chk000115,嘉实如意宝定期债券C,定开债券
chk000116,嘉实丰益纯债定期债券,定开债券
chk000117,广发轮动配置混合,混合型
chk000118,广发聚鑫债券A,债券型
chk000119,广发聚鑫债券C,债券型
